rateLimitingCodons,antiShineDelgarno,ttDimerCount,otherPyrDimerCount,weightedPyrDimerCount,methylationSites,repeatRuns,deaminationSites,alkylationSites,oxidationSites,miscSites,hairpinSites,insertionSequences
BBa_J04480,69,105,108,434,156.5511,15,11,178,278,201,45,21,0
BBa_K1017781,24,115,189,510,223.76399999999998,13,21,261,337,232,77,33,1
BBa_K082013,11,61,101,318,129.9373,16,9,112,175,138,55,6,0
BBa_K1045012,3,5,3,23,6.173399999999999,4,0,6,15,4,0,0,0
BBa_J36335,50,245,413,1068,515.8216999999999,29,42,424,741,390,114,43,0
BBa_K1073028,80,168,227,754,309.97049999999996,37,27,313,498,287,93,36,1
BBa_K1072013,59,160,598,821,560.0442999999999,22,89,160,544,250,114,16,0
BBa_K1072014,60,165,609,848,573.5058999999998,24,89,161,560,257,116,16,0
BBa_K1315011,21,97,97,400,143.4009,9,11,163,263,172,46,27,0
BBa_K1315009,31,149,249,629,291.7031,14,26,195,426,246,74,30,0
BBa_K1333309,18,80,126,298,143.59,10,12,83,196,117,32,9,0
BBa_K1364017,5,15,39,55,38.535999999999994,2,4,6,43,13,5,0,0
BBa_K137053,31,40,128,190,128.17629999999997,8,16,40,145,37,24,3,0
BBa_K137054,47,73,334,377,301.37609999999995,8,60,78,280,83,48,6,0
BBa_K137055,31,66,187,242,174.4026,10,27,46,184,63,38,2,0
BBa_K1363400,137,368,532,1569,696.3883,64,62,643,1095,589,139,92,1
BBa_K257014,20,78,118,299,142.60580000000002,7,11,77,199,116,30,8,0
BBa_K515100,55,317,484,1072,537.3213999999999,34,72,473,773,474,156,54,0
BBa_K523014,11,243,383,1041,462.77399999999994,27,43,506,707,465,139,65,0
BBa_K539461,92,202,329,751,358.8914,25,42,337,519,286,108,33,0
BBa_K539281,52,159,263,568,280.11289999999997,18,50,185,403,234,69,17,1
BBa_M36641,6,7,35,56,37.279999999999994,1,4,13,39,12,6,1,0
BBa_K608351,35,90,168,345,176.9218,13,31,88,244,119,36,7,1
BBa_K733018,97,131,543,713,508.69159999999994,17,83,115,493,200,79,7,0
BBa_K741020,104,190,425,780,435.89439999999996,28,54,205,552,261,86,19,1
BBa_K781006,9,190,320,755,365.8671999999999,15,29,263,495,283,102,30,0
BBa_K782060,11,88,54,286,95.74789999999999,6,1,30,181,107,48,8,0
BBa_K737051,97,182,349,795,393.99580000000003,28,31,284,547,297,112,33,1
BBa_K782061,26,154,101,565,182.63609999999997,27,19,181,358,249,68,28,0
BBa_K737041,78,191,362,857,416.72530000000006,31,40,293,588,317,112,32,1
BBa_E5504,14,60,155,264,160.45069999999998,6,15,33,190,81,30,3,0
BBa_K876004,66,133,341,567,336.56909999999993,18,56,143,401,188,55,11,0
BBa_I13402,103,217,440,1072,507.6106,33,66,381,698,452,123,39,0
BBa_I714044,12,38,56,181,70.79209999999999,3,6,90,110,86,10,19,0
BBa_K1182000,4,64,100,299,122.7811,5,15,160,200,142,52,20,1
BBa_K1014998,3,5,1,26,8.6974,0,0,1,19,6,2,0,0
BBa_K1030008,9,52,152,225,147.40419999999997,4,15,32,161,74,28,3,0
BBa_K1073010,11,61,101,318,129.9373,16,9,112,175,138,55,6,0
BBa_K1111004,42,94,241,387,237.6404,12,30,123,263,127,56,9,0
BBa_K574001,72,118,408,576,383.1855,29,59,155,408,148,54,7,0
BBa_K1149021,7,77,65,232,96.45289999999999,13,5,55,166,80,36,4,0
BBa_M36157,0,72,92,230,104.67900000000002,4,4,92,161,109,29,8,0
BBa_K118025,84,408,862,1692,920.4986,34,108,600,1182,615,229,75,0
BBa_K1197002,7,14,26,39,26.0379,3,2,11,30,11,5,1,0
BBa_K1315010,27,141,238,578,278.2888,13,20,170,401,216,66,25,0
BBa_K1315012,17,89,86,350,130.0906,8,5,138,238,142,38,22,0
BBa_K1333318,14,161,232,526,251.07879999999994,7,27,149,338,225,85,13,0
BBa_K1357001,1,86,122,443,178.28099999999998,16,5,222,268,204,69,23,0
BBa_K1362056,4,11,3,30,7.5112999999999985,1,1,9,25,17,0,2,0
BBa_K1368013,15,29,54,107,57.92059999999999,7,5,23,75,30,12,2,0
BBa_M1600,13,94,145,377,167.17759999999998,7,17,184,236,150,78,21,0
BBa_K1363201,97,182,349,795,393.99580000000003,28,31,284,547,297,112,33,1
BBa_K1446003,58,147,249,659,296.5478,23,38,243,439,252,74,30,0
BBa_K1452000,3,34,59,111,61.183699999999995,3,9,34,84,45,16,5,0
BBa_M31746,0,13,47,96,52.13469999999999,1,0,22,59,32,14,2,0
BBa_K165046,16,28,121,174,112.67199999999997,4,22,52,104,59,16,8,0
BBa_K188027,3,5,1,26,8.6974,0,0,1,19,6,2,0,0
BBa_K204044,60,135,105,464,158.96209999999996,10,14,167,307,230,41,30,0
BBa_K204042,69,105,108,434,156.5511,15,11,178,278,201,45,21,0
BBa_K574007,20,91,104,371,143.62120000000002,10,7,157,247,149,43,24,0
BBa_K523015,13,151,133,774,231.7181,26,22,514,474,438,72,90,0
BBa_K569013,35,126,221,606,274.34369999999996,14,29,152,390,247,73,15,0
BBa_K584003,51,75,193,316,193.0125,10,19,57,225,100,39,6,0
BBa_K568004,23,267,414,1145,518.9054,13,29,407,765,356,162,38,0
BBa_K607024,83,237,342,919,407.33239999999995,28,55,390,634,385,108,48,0
BBa_K607030,112,239,342,921,408.4115,27,55,389,635,386,108,48,0
BBa_K611016,107,181,372,813,410.3402,25,39,308,551,315,113,39,1
BBa_K733017,17,66,128,234,128.55429999999998,6,23,56,151,90,39,7,0
BBa_K801035,8,32,46,152,66.1062,3,2,46,114,47,18,8,0
BBa_K801036,1,64,89,229,105.41029999999998,5,8,132,180,95,33,21,0
BBa_K801041,50,370,546,1272,644.5555,23,51,413,960,435,174,46,0
BBa_K653003,54,84,208,355,210.17399999999998,10,19,80,249,121,41,11,0
BBa_K801037,17,36,81,186,96.8181,2,11,62,142,45,20,7,0
BBa_K801038,65,335,524,1202,621.7980999999999,20,51,333,903,371,159,30,0
BBa_K876014,39,54,173,241,163.53379999999999,6,23,71,172,56,30,7,0
BBa_K876000,37,64,167,277,160.50529999999995,10,26,105,194,89,24,8,0
BBa_K876015,24,96,105,401,153.21659999999997,11,7,158,268,155,45,24,0
BBa_K876057,24,96,105,401,153.21659999999997,11,7,158,268,155,45,24,0
BBa_K896003,15,142,174,484,194.18649999999997,13,41,163,308,313,85,23,0
BBa_K801034,8,32,46,152,66.1062,3,2,47,114,47,17,8,0
BBa_K876072,54,137,284,550,294.41369999999995,17,37,181,374,199,52,16,0
BBa_K929101,9,203,129,743,237.60889999999995,25,18,232,496,333,97,31,1
BBa_M1259,0,172,156,594,218.39199999999997,21,8,371,402,296,94,43,0
BBa_K936013,12,77,52,378,109.0506,8,8,247,228,204,40,33,0
BBa_B1103,14,87,149,340,166.9717,10,19,100,222,140,35,11,0
BBa_K929107,29,246,166,908,280.0074,20,38,261,559,485,100,51,0
BBa_B1101,13,87,158,336,171.4885,10,28,96,221,138,35,11,0
BBa_B1102,14,87,151,338,168.1115,10,21,100,222,138,35,11,0
BBa_B1104,15,87,147,340,165.8097,10,17,102,222,140,36,11,0
BBa_B1105,14,87,145,340,164.64770000000001,10,15,104,222,140,35,11,0
BBa_I0100,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I12056,29,99,204,386,210.8882,13,29,105,276,124,42,10,1
BBa_I12057,28,99,202,388,209.9342,13,29,105,276,124,42,10,1
BBa_I12055,29,99,202,382,208.3462,13,29,107,274,124,40,10,1
BBa_I13311,89,204,210,827,303.058,27,22,327,543,358,94,44,0
BBa_I13310,113,183,177,804,289.5066,33,19,323,526,330,91,35,0
BBa_I13721,23,122,180,435,205.62419999999997,15,23,216,317,198,65,23,0
BBa_I13313,87,180,211,856,326.1033,41,25,387,549,358,90,48,0
BBa_I2040,21,103,139,451,182.1316,14,17,210,301,206,70,27,1
BBa_I529201,19,40,31,130,50.7302,7,2,21,93,39,12,2,0
BBa_I52000,44,107,152,406,176.4269,13,40,154,272,171,51,22,0
BBa_I5510,156,357,586,1497,693.5488999999999,46,73,528,1036,553,194,47,1
BBa_I5410,119,261,492,1109,554.0451,32,59,377,784,382,153,33,1
BBa_I7000,28,98,83,382,128.3891,12,10,163,245,191,38,19,0
BBa_I5210,95,266,508,1104,554.1450999999998,39,79,398,771,389,133,37,2
BBa_I7001,28,96,86,379,130.09879999999998,11,9,164,243,185,37,19,0
BBa_I5220,96,255,483,1085,538.7588999999999,36,65,376,760,369,140,34,1
BBa_I714040,31,63,158,227,135.5584,12,51,79,143,109,26,13,0
BBa_I714041,61,99,260,387,243.28449999999998,12,46,86,265,140,52,15,0
BBa_I714006,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I714061,90,180,447,683,410.3712,27,99,200,453,278,84,34,0
BBa_I714073,7,17,9,59,21.4291,2,0,3,42,14,5,0,0
BBa_I714051,44,97,240,327,201.1562,16,80,119,204,157,43,23,0
BBa_I714070,9,13,9,57,21.406900000000004,2,1,3,42,12,4,0,0
BBa_I715070,56,191,270,756,332.93189999999987,22,30,304,535,321,75,41,0
BBa_I714046,11,32,52,112,56.9245,2,4,47,79,46,13,7,0
BBa_I716007,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I715068,28,124,97,497,163.5072,14,13,263,343,241,43,38,0
BBa_I716009,2,95,156,421,196.26939999999996,16,14,155,269,181,52,14,0
BBa_I716003,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716016,9,81,199,328,194.08839999999998,4,24,97,214,131,34,8,0
BBa_I715069,31,81,214,327,207.63520000000003,10,23,74,232,111,39,9,0
BBa_I716052,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716021,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716051,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716022,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716023,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716004,90,273,573,1204,622.9323999999998,33,106,388,805,446,128,45,1
BBa_I716011,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716061,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716066,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716057,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716176,131,418,616,1900,818.9449999999998,64,105,891,1275,757,223,117,1
BBa_I716065,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716060,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716201,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716067,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716064,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716183,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716069,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716179,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716071,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716181,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716177,133,433,696,1845,853.6181,56,104,823,1257,677,247,88,1
BBa_I716202,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716184,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716056,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716178,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716180,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716203,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716070,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716376,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716223,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716390,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716224,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716374,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716377,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716375,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716225,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716317,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716380,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716381,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I716379,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I721005,120,279,354,1161,471.78520000000003,37,49,520,779,507,149,55,1
BBa_I721006,119,241,385,992,449.84360000000004,34,62,413,672,401,105,37,0
BBa_I716378,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I723016,44,79,123,422,168.5473,12,21,210,271,156,39,21,0
BBa_I724007,109,176,531,800,516.0642,29,67,201,553,222,91,14,0
BBa_I723022,55,278,333,993,420.78709999999995,34,48,445,713,429,118,53,0
BBa_I716226,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K1163001,0,62,111,228,120.64909999999999,7,10,95,159,76,35,7,0
BBa_I716205,3,19,21,77,28.025999999999993,4,4,28,51,39,8,5,0
BBa_K1204016,20,21,152,201,141.46419999999998,7,42,49,123,51,13,8,0
BBa_I751011,208,490,748,1987,903.1111,56,131,672,1350,762,217,81,2
BBa_I751021,208,498,768,2027,922.7067000000001,57,132,697,1375,784,220,87,2
BBa_I758005,29,72,180,301,176.04209999999995,13,27,94,217,84,26,5,0
BBa_I759008,3,86,64,348,115.283,10,7,134,226,164,37,13,0
BBa_I760010,68,192,239,695,294.47639999999996,18,39,212,481,296,68,28,1
BBa_J07035,114,247,428,1137,507.649,29,46,537,747,485,138,66,1
BBa_I20293,13,65,178,341,186.8746,11,19,86,233,130,37,9,0
BBa_J102002,57,72,168,328,176.69809999999995,17,26,92,233,86,28,4,0
BBa_J13004,92,175,132,723,234.3799,26,17,275,465,339,73,28,0
BBa_J120027,8,79,200,366,200.28819999999996,6,27,60,238,145,42,16,0
BBa_J13075,108,202,133,749,238.49559999999997,20,19,265,490,362,69,37,0
BBa_J13065,111,203,179,862,296.78809999999993,33,21,306,559,379,89,32,0
BBa_J196003,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J196000,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J196002,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J176138,146,506,394,1705,596.3435999999999,53,74,569,1132,804,137,72,0
BBa_J176139,194,660,568,2646,872.3526999999999,58,126,863,1668,1354,251,128,0
BBa_J196001,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J202039,45,134,348,612,352.34279999999995,26,43,139,432,178,62,9,0
BBa_J176140,202,728,557,2747,890.4678999999999,58,126,972,1736,1416,250,131,0
BBa_J202040,45,136,344,616,350.4347999999999,30,43,143,434,178,62,11,0
BBa_J202047,45,136,344,616,352.36279999999994,26,43,139,436,178,62,9,0
BBa_J23024,12,16,24,65,30.582299999999996,3,4,5,45,16,3,0,0
BBa_J202041,44,138,344,616,350.0632,26,43,139,434,182,64,11,0
BBa_J22071,24,86,199,341,207.64659999999998,15,21,81,263,89,38,4,0
BBa_J23088,31,90,115,340,144.1399,10,19,105,238,149,48,17,1
BBa_J23077,21,92,145,372,175.7806,11,14,94,247,138,39,10,0
BBa_J23079,19,89,139,354,167.90220000000002,10,13,92,235,133,37,10,0
BBa_J24010,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J24009,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J24680,34,86,132,339,158.3438,10,23,161,238,144,41,16,0
BBa_J24012,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J23090,22,81,125,315,150.3752,8,12,79,209,121,32,8,0
BBa_J24011,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J23081,13,32,44,120,51.8833,6,13,29,80,57,8,6,0
BBa_J24692,39,103,161,403,188.963,12,25,194,281,172,47,21,0
BBa_J13068,114,276,296,1135,430.69650000000007,40,32,382,739,489,117,40,0
BBa_J24696,40,94,135,372,170.4701,11,23,162,264,149,43,15,0
BBa_I732086,44,71,163,306,167.8524,12,26,86,219,89,26,4,0
BBa_J24715,118,273,379,1037,454.10999999999996,31,61,401,713,435,100,48,0
BBa_J24722,146,277,383,1042,458.97489999999993,31,61,401,720,434,100,47,0
BBa_J24729,142,277,359,1173,477.6804,37,45,527,784,507,150,57,1
BBa_J24717,137,273,379,1037,454.10999999999996,31,61,401,713,435,100,48,0
BBa_J24712,101,182,224,795,306.19720000000007,25,22,365,518,357,107,41,1
BBa_J24727,120,275,357,1169,475.23130000000003,37,45,527,782,506,150,56,1
BBa_J24744,251,551,738,2215,932.6995000000002,69,106,928,1499,943,250,106,1
BBa_J24746,241,549,736,2211,930.2504,69,106,928,1497,942,250,105,1
BBa_J24751,279,549,736,2211,930.2504,69,106,928,1497,942,250,105,1
BBa_J24748,187,551,738,2215,932.6995000000002,69,106,928,1499,943,250,106,1
BBa_J24760,194,553,740,2216,935.1152999999999,69,106,928,1504,941,250,104,1
BBa_J24757,245,551,738,2212,932.6662000000001,69,106,928,1502,940,250,103,1
BBa_J24762,272,553,740,2216,935.1152999999999,69,106,928,1504,941,250,104,1
BBa_J24772,372,852,1290,3664,1583.6051,117,192,1554,2447,1551,424,169,2
BBa_J24767,297,557,744,2221,939.9802000000001,69,106,928,1511,940,250,103,1
BBa_J24780,281,848,1286,3656,1578.7069000000001,117,192,1554,2443,1549,424,167,2
BBa_J24776,448,852,1290,3664,1583.6051,117,192,1554,2447,1551,424,169,2
BBa_J24794,452,856,1294,3666,1588.4367000000002,117,192,1554,2457,1547,424,165,2
BBa_J24796,409,856,1294,3666,1588.4367000000002,117,192,1554,2457,1547,424,165,2
BBa_J24810,21,147,161,778,269.0339,22,11,417,500,322,109,51,0
BBa_J24774,404,848,1286,3656,1578.7069000000001,117,192,1554,2443,1549,424,167,2
BBa_J24788,337,856,1294,3666,1588.4367000000002,117,192,1554,2457,1547,424,165,2
BBa_J26005,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J24783,379,848,1286,3656,1578.7069000000001,117,192,1554,2443,1549,424,167,2
BBa_J24789,361,852,1290,3664,1583.6051,117,192,1554,2447,1551,424,169,2
BBa_J28001,47,203,445,816,463.1051,25,59,207,576,251,94,16,1
BBa_J24742,213,551,738,2212,932.6662000000001,69,106,928,1502,940,250,103,1
BBa_J26009,172,518,1076,2345,1165.409,75,156,768,1552,998,316,79,0
BBa_J28019,151,235,390,938,453.1132,32,42,286,661,325,113,20,0
BBa_J28006,151,235,391,939,453.7982,32,42,285,663,325,110,20,0
BBa_J28013,33,52,238,270,213.30450000000002,11,32,65,192,64,30,2,0
BBa_J32014,143,296,564,1252,649.1757999999999,52,71,403,873,398,146,46,0
BBa_J32027,144,280,555,1282,647.8395999999999,53,69,424,873,442,144,53,0
BBa_J36831,21,92,134,412,179.2582,12,13,162,276,150,52,16,0
BBa_K764010,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K759004,0,126,63,471,126.1368,20,5,311,315,276,50,62,0
BBa_J36937,63,285,503,1270,620.1601999999999,35,50,491,872,454,129,51,0
BBa_J43001,132,225,321,973,410.73609999999996,33,32,427,643,415,128,50,1
BBa_J58110,45,105,184,432,206.97379999999998,14,13,208,304,158,59,22,0
BBa_J58111,61,158,246,628,293.358,26,24,315,456,262,79,33,0
BBa_J61025,32,83,182,334,187.135,9,31,96,225,130,33,12,0
BBa_J64972,82,373,642,1370,683.2257999999999,34,108,695,962,595,230,77,0
BBa_J64860,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J64861,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K809607,158,938,934,3203,1187.2678999999998,115,387,659,2043,1647,416,93,0
BBa_J69106,77,265,301,999,397.19799999999987,28,43,384,679,449,107,53,0
BBa_J69005,82,189,435,794,468.5206,28,47,234,580,250,104,24,0
BBa_J69105,84,214,404,890,448.40989999999994,28,48,297,621,340,107,34,0
BBa_J70637,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72185,13,86,138,332,164.96319999999997,13,12,112,234,102,44,8,0
BBa_J72105,51,210,421,901,468.94300000000004,31,73,382,641,328,97,31,1
BBa_J72155,13,86,138,332,164.96319999999997,13,12,112,234,102,44,8,0
BBa_J72188,146,719,743,2592,1012.9173,88,74,1504,1732,1137,462,193,0
BBa_J72198,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72196,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J78007,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72195,38,121,232,523,258.89079999999996,18,44,165,370,205,60,8,0
BBa_J72197,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J78008,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J78006,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J78005,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J73100,125,198,768,982,713.9903999999999,38,99,214,698,236,108,8,0
BBa_J92003,18,38,100,205,109.0145,6,13,47,130,64,29,4,0
BBa_J95005,85,301,417,1140,533.4157,39,63,334,797,402,120,25,0
BBa_J95004,80,301,417,1140,533.4157,39,63,334,797,402,120,25,0
BBa_K077039,26,101,196,400,206.9705,13,29,126,279,143,44,14,1
BBa_K077018,24,96,185,366,194.6739,13,29,103,262,121,42,8,1
BBa_K082027,25,60,83,305,118.96340000000001,15,7,98,171,128,50,4,0
BBa_K077556,70,172,583,811,556.212,28,74,164,579,198,93,9,0
BBa_K084005,45,90,86,358,132.64729999999997,9,5,143,243,139,38,22,0
BBa_K077042,29,88,183,376,198.4254,10,22,122,269,126,45,10,0
BBa_K084004,44,82,70,370,132.108,17,7,167,247,137,44,18,0
BBa_J69006,75,240,332,903,417.3087,28,42,321,638,359,104,43,0
BBa_K084006,48,64,67,349,128.73839999999998,20,4,178,226,133,30,27,0
BBa_K091140,42,53,181,219,167.2873,7,24,50,163,35,28,2,0
BBa_K086008,73,184,171,759,265.7308,28,19,294,489,346,82,30,0
BBa_K091180,25,103,116,400,159.59649999999996,12,7,162,273,152,47,24,0
BBa_K925002,0,41,85,228,94.87579999999998,9,13,142,143,128,47,22,0
BBa_K098982,96,182,348,798,394.59790000000004,28,31,283,549,299,113,34,1
BBa_K091231,82,204,576,868,557.6501999999999,26,67,204,610,287,93,19,0
BBa_K101003,18,85,160,330,170.78920000000002,10,39,83,235,120,34,5,1
BBa_K1010006,2,22,27,81,37.00919999999999,0,2,30,63,26,10,2,0
BBa_K1014014,41,279,470,1323,610.2044000000001,47,37,409,815,451,236,43,0
BBa_K1020008,80,153,288,594,300.7105,20,39,292,428,240,120,34,0
BBa_K102021,9,38,71,191,81.71439999999998,9,8,89,122,93,18,16,0
BBa_K102071,11,42,79,190,86.16550000000001,10,14,92,121,93,18,16,0
BBa_K1020009,141,467,623,1771,765.7581999999999,56,81,908,1187,813,257,97,0
BBa_K102101,11,48,80,204,86.8844,15,15,83,128,104,20,15,0
BBa_K102081,10,42,79,194,86.2099,10,14,96,123,97,19,17,0
BBa_K102141,12,49,77,203,88.57969999999999,9,8,93,132,95,21,14,0
BBa_K102131,12,48,77,199,87.6817,9,8,91,129,95,20,14,0
BBa_K1025004,31,285,449,1278,561.6406,29,54,645,855,554,196,73,1
BBa_K1025007,31,147,205,681,272.814,22,25,343,446,331,98,40,0
BBa_K1026005,96,228,353,913,397.88539999999995,29,59,351,600,489,119,40,0
BBa_K1030002,33,192,195,743,280.8853,25,19,362,517,317,79,45,0
BBa_K1030000,33,192,195,743,280.79239999999993,25,19,363,518,318,78,45,0
BBa_K1030006,34,192,196,742,280.78739999999993,25,19,363,517,318,77,45,0
BBa_K1030001,33,191,197,741,281.35729999999995,25,19,362,516,317,77,45,0
BBa_K1030003,34,192,195,745,281.4823999999999,25,19,362,519,319,78,46,0
BBa_K1030007,33,191,197,741,280.68949999999995,25,19,364,515,320,77,47,0
BBa_K1030004,33,192,196,742,281.36229999999995,25,19,362,517,317,79,45,0
BBa_K1030005,33,191,196,742,280.7874,25,19,363,516,318,77,45,0
BBa_K105102,11,37,99,228,107.57939999999999,7,7,77,145,69,32,8,0
BBa_K105106,9,90,133,388,164.23619999999997,9,13,204,259,183,67,26,1
BBa_K105103,2,38,31,137,45.88960000000001,5,20,52,89,95,15,9,0
BBa_K105105,2,64,98,215,110.20519999999999,5,10,101,166,83,36,13,0
BBa_K105305,37,228,397,815,423.5868,20,66,252,578,348,93,36,0
BBa_K105303,37,228,397,815,423.5868,20,66,252,578,348,93,36,0
BBa_K105109,12,75,155,247,147.9279,7,20,49,183,91,30,5,0
BBa_K105300,20,200,275,637,308.9538,15,43,200,471,289,77,28,0
BBa_K105110,14,96,146,277,151.06299999999996,3,13,47,210,111,26,6,0
BBa_K1042015,64,116,253,457,263.6812,13,25,116,327,146,53,12,0
BBa_K105304,37,228,397,815,423.5868,20,66,252,578,348,93,36,0
BBa_K105302,20,200,275,637,308.9538,15,43,200,471,289,77,28,0
BBa_K1053200,101,185,164,758,267.61709999999994,19,20,439,523,361,79,58,0
BBa_K105301,20,199,276,636,309.43080000000003,15,44,200,470,289,77,28,0
BBa_K1058012,177,314,525,1337,628.1038999999998,20,51,485,909,415,174,41,0
BBa_K1064000,41,142,284,613,321.1168,21,55,74,418,211,77,9,0
BBa_K1059099,44,90,213,375,218.40509999999998,15,19,78,269,106,37,7,0
BBa_K1065306,72,159,180,757,296.89559999999994,39,20,392,534,298,51,61,0
BBa_K1072016,40,115,380,563,363.24299999999994,12,53,113,371,176,61,12,0
BBa_K1070008,55,70,201,335,202.8247,11,23,63,233,103,42,6,0
BBa_K1072015,60,165,609,848,573.5058999999998,24,89,161,560,257,116,16,0
BBa_K1059066,39,82,204,354,207.5077,15,19,72,250,102,37,7,0
BBa_K1080016,4,134,104,474,186.1277,21,0,151,334,135,73,15,0
BBa_K1080020,4,130,119,511,197.7038,15,3,146,335,168,67,24,0
BBa_K1080014,4,41,35,155,59.65559999999999,4,0,47,99,53,20,4,0
BBa_K1073035,133,313,490,1385,617.8433999999999,68,64,509,917,511,174,63,1
BBa_K1080021,5,156,134,495,204.052,15,2,163,353,153,74,16,0
BBa_K1080019,4,91,101,348,146.9303,12,2,123,248,89,62,16,0
BBa_K1080027,82,305,276,1184,453.2191,37,5,371,787,357,173,50,0
BBa_K1084407,14,95,148,341,166.9767,10,18,95,228,141,37,10,0
BBa_K1084405,14,93,149,340,168.7893,10,16,95,227,133,37,10,0
BBa_K1080017,4,535,286,1729,541.6898,55,21,697,1107,758,263,106,0
BBa_K1080022,6,106,96,418,152.7055,11,4,147,270,140,77,19,1
BBa_K1084404,14,94,148,339,166.9545,10,16,95,226,137,37,10,0
BBa_K1080024,6,131,144,464,202.8399,16,3,166,329,144,90,19,0
BBa_K1080018,7,304,112,960,248.43239999999997,31,23,504,611,507,109,87,0
BBa_K1084409,14,93,148,339,167.0474,10,15,94,226,135,38,10,0
BBa_K1084403,14,90,149,340,168.3073,10,15,94,225,133,38,10,0
BBa_K1085023,57,124,151,413,166.8706,35,25,181,318,201,32,15,0
BBa_K1084408,14,92,148,337,167.0252,10,15,94,223,132,38,10,0
BBa_K1084401,14,90,149,338,168.19219999999999,10,15,94,224,132,38,10,0
BBa_K1084410,15,91,148,341,168.31229999999996,10,15,95,226,133,37,10,0
BBa_K1085024,48,96,133,341,147.8031,30,25,147,261,148,30,15,0
BBa_K1087023,54,171,294,715,343.0118,27,43,203,479,266,68,21,0
BBa_K1094401,1,111,86,473,144.44029999999998,14,10,239,296,256,56,29,0
BBa_K1084504,21,126,205,480,233.5806,13,19,150,322,186,54,17,0
BBa_K1084406,15,90,149,336,167.50219999999996,10,15,96,223,132,37,10,0
